season,player,team,tenure_years
2017,S Kaushik,Gujarat Lions,2
2010,S Ladda,Delhi Capitals,1
2011,S Ladda,Kolkata Knight Riders,1
2013,S Ladda,Kolkata Knight Riders,1
2016,S Ladda,Gujarat Lions,1
2018,S Lamichhane,Delhi Capitals,1
2019,S Lamichhane,Delhi Capitals,2
2019,S Midhun,Rajasthan Royals,1
2011,S Nadeem,Delhi Capitals,1
2012,S Nadeem,Delhi Capitals,2
2013,S Nadeem,Delhi Capitals,3
2014,S Nadeem,Delhi Capitals,4
2015,S Nadeem,Delhi Capitals,5
2016,S Nadeem,Delhi Capitals,6
2017,S Nadeem,Delhi Capitals,7
2018,S Nadeem,Delhi Capitals,8
2019,S Nadeem,Sunrisers Hyderabad,1
2020,S Nadeem,Sunrisers Hyderabad,2
2021,S Nadeem,Sunrisers Hyderabad,3
2010,S Narwal,Rajasthan Royals,1
2013,S Narwal,Kolkata Knight Riders,1
2011,S Rana,Pune Warriors,1
2014,S Rana,Royal Challengers Bengaluru,1
2011,S Randiv,Chennai Super Kings,1
2019,S Sandeep Warrier,Kolkata Knight Riders,1
2020,S Sandeep Warrier,Kolkata Knight Riders,2
2021,S Sandeep Warrier,Kolkata Knight Riders,3
2024,S Sandeep Warrier,Gujarat Titans,1
2008,S Sohal,Punjab Kings,1
2009,S Sohal,Punjab Kings,2
2011,S Sohal,Deccan Chargers,1
2008,S Sreesanth,Punjab Kings,1
2009,S Sreesanth,Punjab Kings,2
2010,S Sreesanth,Punjab Kings,3
2011,S Sreesanth,Kochi Tuskers Kerala,1
2013,S Sreesanth,Rajasthan Royals,1
2010,S Sriram,Royal Challengers Bengaluru,1
2011,S Sriram,Delhi Capitals,1
2009,S Tyagi,Chennai Super Kings,1
2010,S Tyagi,Chennai Super Kings,2
2008,S Vidyut,Chennai Super Kings,1
2015,SA Abbott,Royal Challengers Bengaluru,1
2022,SA Abbott,Sunrisers Hyderabad,1
2008,SA Asnodkar,Rajasthan Royals,1
2009,SA Asnodkar,Rajasthan Royals,2
2010,SA Asnodkar,Rajasthan Royals,3
2011,SA Asnodkar,Rajasthan Royals,4
2012,SA Yadav,Mumbai Indians,1
2014,SA Yadav,Kolkata Knight Riders,1
2015,SA Yadav,Kolkata Knight Riders,2
2016,SA Yadav,Kolkata Knight Riders,3
2017,SA Yadav,Kolkata Knight Riders,4
2018,SA Yadav,Mumbai Indians,1
2019,SA Yadav,Mumbai Indians,2
2020,SA Yadav,Mumbai Indians,3
2021,SA Yadav,Mumbai Indians,4
2022,SA Yadav,Mumbai Indians,5
2023,SA Yadav,Mumbai Indians,6
2024,SA Yadav,Mumbai Indians,7
2025,SA Yadav,Mumbai Indians,8
2008,SB Bangar,Deccan Chargers,1
2009,SB Bangar,Kolkata Knight Riders,1
2024,SB Dubey,Rajasthan Royals,1
2025,SB Dubey,Rajasthan Royals,2
2009,SB Jakati,Chennai Super Kings,1
2010,SB Jakati,Chennai Super Kings,2
2011,SB Jakati,Chennai Super Kings,3
2012,SB Jakati,Chennai Super Kings,4
2014,SB Jakati,Royal Challengers Bengaluru,1
2016,SB Jakati,Gujarat Lions,1
2017,SB Jakati,Gujarat Lions,2
2008,SB Joshi,Royal Challengers Bengaluru,1
2008,SB Styris,Deccan Chargers,1
2009,SB Styris,Deccan Chargers,2
2011,SB Styris,Chennai Super Kings,1
2010,SB Wagh,Rajasthan Royals,1
2011,SB Wagh,Pune Warriors,1
2008,SC Ganguly,Kolkata Knight Riders,1
2009,SC Ganguly,Kolkata Knight Riders,2
2010,SC Ganguly,Kolkata Knight Riders,3
2011,SC Ganguly,Pune Warriors,1
2012,SC Ganguly,Pune Warriors,2
2019,SC Kuggeleijn,Chennai Super Kings,1
2008,SD Chitnis,Mumbai Indians,1
2009,SD Chitnis,Rajasthan Royals,1
2011,SD Chitnis,Punjab Kings,1
2012,SD Chitnis,Punjab Kings,2
2024,SD Hope,Delhi Capitals,1
2019,SD Lad,Mumbai Indians,1
2010,SE Bond,Kolkata Knight Riders,1
2008,SE Marsh,Punjab Kings,1
2010,SE Marsh,Punjab Kings,1
2011,SE Marsh,Punjab Kings,2
2012,SE Marsh,Punjab Kings,3
2013,SE Marsh,Punjab Kings,4
2014,SE Marsh,Punjab Kings,5
2015,SE Marsh,Punjab Kings,6
2016,SE Marsh,Punjab Kings,7
2017,SE Marsh,Punjab Kings,8
2019,SE Rutherford,Delhi Capitals,1
2022,SE Rutherford,Royal Challengers Bengaluru,1
2025,SE Rutherford,Gujarat Titans,1
2024,SH Johnson,Gujarat Titans,1
2025,SH Johnson,Kolkata Knight Riders,1
2010,SJ Srivastava,Punjab Kings,1
2011,SJ Srivastava,Punjab Kings,2
2008,SK Raina,Chennai Super Kings,1
2009,SK Raina,Chennai Super Kings,2
2010,SK Raina,Chennai Super Kings,3
2011,SK Raina,Chennai Super Kings,4
2012,SK Raina,Chennai Super Kings,5
2013,SK Raina,Chennai Super Kings,6
2014,SK Raina,Chennai Super Kings,7
2015,SK Raina,Chennai Super Kings,8
2016,SK Raina,Gujarat Lions,1
2017,SK Raina,Gujarat Lions,2
2018,SK Raina,Chennai Super Kings,1
2019,SK Raina,Chennai Super Kings,2
2021,SK Raina,Chennai Super Kings,1
2025,SK Rasheed,Chennai Super Kings,1
2008,SK Trivedi,Rajasthan Royals,1
2009,SK Trivedi,Rajasthan Royals,2
2010,SK Trivedi,Rajasthan Royals,3
2011,SK Trivedi,Rajasthan Royals,4
2012,SK Trivedi,Rajasthan Royals,5
2013,SK Trivedi,Rajasthan Royals,6
2008,SK Warne,Rajasthan Royals,1
2009,SK Warne,Rajasthan Royals,2
2010,SK Warne,Rajasthan Royals,3
2011,SK Warne,Rajasthan Royals,4
2009,SL Malinga,Mumbai Indians,1
2010,SL Malinga,Mumbai Indians,2
2011,SL Malinga,Mumbai Indians,3
2012,SL Malinga,Mumbai Indians,4
2013,SL Malinga,Mumbai Indians,5
2014,SL Malinga,Mumbai Indians,6
2015,SL Malinga,Mumbai Indians,7
2017,SL Malinga,Mumbai Indians,1
2019,SL Malinga,Mumbai Indians,1
2016,SM Boland,Rising Pune Supergiant,1
2019,SM Curran,Punjab Kings,1
2020,SM Curran,Chennai Super Kings,1
2021,SM Curran,Chennai Super Kings,2
2023,SM Curran,Punjab Kings,1
2024,SM Curran,Punjab Kings,2
2025,SM Curran,Chennai Super Kings,1
2009,SM Harwood,Rajasthan Royals,1
2008,SM Katich,Punjab Kings,1
2009,SM Katich,Punjab Kings,2
2008,SM Pollock,Mumbai Indians,1
2013,SMSM Senanayake,Kolkata Knight Riders,1
2015,SN Khan,Royal Challengers Bengaluru,1
2016,SN Khan,Royal Challengers Bengaluru,2
2018,SN Khan,Royal Challengers Bengaluru,1
2019,SN Khan,Punjab Kings,1
2020,SN Khan,Punjab Kings,2
2021,SN Khan,Punjab Kings,3
2022,SN Khan,Delhi Capitals,1
2023,SN Khan,Delhi Capitals,2
2015,SN Thakur,Punjab Kings,1
2017,SN Thakur,Rising Pune Supergiant,1
2018,SN Thakur,Chennai Super Kings,1
2019,SN Thakur,Chennai Super Kings,2
2020,SN Thakur,Chennai Super Kings,3
2021,SN Thakur,Chennai Super Kings,4
2022,SN Thakur,Delhi Capitals,1
2023,SN Thakur,Kolkata Knight Riders,1
2024,SN Thakur,Chennai Super Kings,1
2025,SN Thakur,Lucknow Super Giants,1
2019,SO Hetmyer,Royal Challengers Bengaluru,1
2020,SO Hetmyer,Delhi Capitals,1
2021,SO Hetmyer,Delhi Capitals,2
2022,SO Hetmyer,Rajasthan Royals,1
2023,SO Hetmyer,Rajasthan Royals,2
2024,SO Hetmyer,Rajasthan Royals,3
2025,SO Hetmyer,Rajasthan Royals,4
2008,SP Fleming,Chennai Super Kings,1
2008,SP Goswami,Royal Challengers Bengaluru,1
2009,SP Goswami,Royal Challengers Bengaluru,2
2010,SP Goswami,Royal Challengers Bengaluru,3
2011,SP Goswami,Kolkata Knight Riders,1
2012,SP Goswami,Rajasthan Royals,1
2018,SP Goswami,Sunrisers Hyderabad,1
2020,SP Goswami,Sunrisers Hyderabad,1
2017,SP Jackson,Kolkata Knight Riders,1
2022,SP Jackson,Kolkata Knight Riders,1
2012,SP Narine,Kolkata Knight Riders,1
2013,SP Narine,Kolkata Knight Riders,2
2014,SP Narine,Kolkata Knight Riders,3
2015,SP Narine,Kolkata Knight Riders,4
2016,SP Narine,Kolkata Knight Riders,5
2017,SP Narine,Kolkata Knight Riders,6
2018,SP Narine,Kolkata Knight Riders,7
2019,SP Narine,Kolkata Knight Riders,8
2020,SP Narine,Kolkata Knight Riders,9
2021,SP Narine,Kolkata Knight Riders,10
2022,SP Narine,Kolkata Knight Riders,11
2023,SP Narine,Kolkata Knight Riders,12
2024,SP Narine,Kolkata Knight Riders,13
2025,SP Narine,Kolkata Knight Riders,14
2012,SPD Smith,Pune Warriors,1
2013,SPD Smith,Pune Warriors,2
2014,SPD Smith,Rajasthan Royals,1
2015,SPD Smith,Rajasthan Royals,2
2016,SPD Smith,Rising Pune Supergiant,1
2017,SPD Smith,Rising Pune Supergiant,2
2019,SPD Smith,Rajasthan Royals,1
2020,SPD Smith,Rajasthan Royals,2
2021,SPD Smith,Delhi Capitals,1
2008,SR Tendulkar,Mumbai Indians,1
2009,SR Tendulkar,Mumbai Indians,2
2010,SR Tendulkar,Mumbai Indians,3
2011,SR Tendulkar,Mumbai Indians,4
2012,SR Tendulkar,Mumbai Indians,5
2013,SR Tendulkar,Mumbai Indians,6
2008,SR Watson,Rajasthan Royals,1
2010,SR Watson,Rajasthan Royals,1
2011,SR Watson,Rajasthan Royals,2
2012,SR Watson,Rajasthan Royals,3
2013,SR Watson,Rajasthan Royals,4
2014,SR Watson,Rajasthan Royals,5
2015,SR Watson,Rajasthan Royals,6
2016,SR Watson,Royal Challengers Bengaluru,1
2017,SR Watson,Royal Challengers Bengaluru,2
2018,SR Watson,Chennai Super Kings,1
2019,SR Watson,Chennai Super Kings,2
2020,SR Watson,Chennai Super Kings,3
2017,SS Agarwal,Gujarat Lions,1
2020,SS Cottrell,Punjab Kings,1
2015,SS Iyer,Delhi Capitals,1
2016,SS Iyer,Delhi Capitals,2
2017,SS Iyer,Delhi Capitals,3
2018,SS Iyer,Delhi Capitals,4
2019,SS Iyer,Delhi Capitals,5
2020,SS Iyer,Delhi Capitals,6
2021,SS Iyer,Delhi Capitals,7
2022,SS Iyer,Kolkata Knight Riders,1
2024,SS Iyer,Kolkata Knight Riders,1
2025,SS Iyer,Punjab Kings,1
2011,SS Mundhe,Pune Warriors,1
2022,SS Prabhudessai,Royal Challengers Bengaluru,1
2023,SS Prabhudessai,Royal Challengers Bengaluru,2
2024,SS Prabhudessai,Royal Challengers Bengaluru,3
2009,SS Sarkar,Kolkata Knight Riders,1
2009,SS Shaikh,Kolkata Knight Riders,1
2008,SS Tiwary,Mumbai Indians,1
2009,SS Tiwary,Mumbai Indians,2
2010,SS Tiwary,Mumbai Indians,3
2011,SS Tiwary,Royal Challengers Bengaluru,1
2012,SS Tiwary,Royal Challengers Bengaluru,2
2013,SS Tiwary,Royal Challengers Bengaluru,3
2015,SS Tiwary,Delhi Capitals,1
2016,SS Tiwary,Rising Pune Supergiant,1
2017,SS Tiwary,Mumbai Indians,1
2020,SS Tiwary,Mumbai Indians,1
2021,SS Tiwary,Mumbai Indians,2
2023,SSB Magala,Chennai Super Kings,1
2008,ST Jayasuriya,Mumbai Indians,1
2009,ST Jayasuriya,Mumbai Indians,2
2010,ST Jayasuriya,Mumbai Indians,3
2010,STR Binny,Mumbai Indians,1
2011,STR Binny,Rajasthan Royals,1
2012,STR Binny,Rajasthan Royals,2
2013,STR Binny,Rajasthan Royals,3
2014,STR Binny,Rajasthan Royals,4
2015,STR Binny,Rajasthan Royals,5
2016,STR Binny,Royal Challengers Bengaluru,1
2017,STR Binny,Royal Challengers Bengaluru,2
2018,STR Binny,Rajasthan Royals,1
2019,STR Binny,Rajasthan Royals,2
2013,SV Samson,Rajasthan Royals,1
2014,SV Samson,Rajasthan Royals,2
2015,SV Samson,Rajasthan Royals,3
2016,SV Samson,Delhi Capitals,1
2017,SV Samson,Delhi Capitals,2
2018,SV Samson,Rajasthan Royals,1
2019,SV Samson,Rajasthan Royals,2
2020,SV Samson,Rajasthan Royals,3
2021,SV Samson,Rajasthan Royals,4
2022,SV Samson,Rajasthan Royals,5
2023,SV Samson,Rajasthan Royals,6
2024,SV Samson,Rajasthan Royals,7
2025,SV Samson,Rajasthan Royals,8
2016,SW Billings,Delhi Capitals,1
2017,SW Billings,Delhi Capitals,2
2018,SW Billings,Chennai Super Kings,1
2019,SW Billings,Chennai Super Kings,2
2022,SW Billings,Kolkata Knight Riders,1
2010,SW Tait,Rajasthan Royals,1
2011,SW Tait,Rajasthan Royals,2
2012,SW Tait,Rajasthan Royals,3
2013,SW Tait,Rajasthan Royals,4
2024,SZ Mulani,Mumbai Indians,1
2013,Sachin Baby,Rajasthan Royals,1
2016,Sachin Baby,Royal Challengers Bengaluru,1
2017,Sachin Baby,Royal Challengers Bengaluru,2
2021,Sachin Baby,Royal Challengers Bengaluru,1
2008,Salman Butt,Kolkata Knight Riders,1
2024,Sameer Rizvi,Chennai Super Kings,1
2025,Sameer Rizvi,Delhi Capitals,1
2013,Sandeep Sharma,Punjab Kings,1
2014,Sandeep Sharma,Punjab Kings,2
2015,Sandeep Sharma,Punjab Kings,3
2016,Sandeep Sharma,Punjab Kings,4
2017,Sandeep Sharma,Punjab Kings,5
2018,Sandeep Sharma,Sunrisers Hyderabad,1
2019,Sandeep Sharma,Sunrisers Hyderabad,2
2020,Sandeep Sharma,Sunrisers Hyderabad,3
2021,Sandeep Sharma,Sunrisers Hyderabad,4
2022,Sandeep Sharma,Punjab Kings,1
2023,Sandeep Sharma,Rajasthan Royals,1
2024,Sandeep Sharma,Rajasthan Royals,2
2025,Sandeep Sharma,Rajasthan Royals,3
2023,Sanvir Singh,Sunrisers Hyderabad,1
2024,Sanvir Singh,Sunrisers Hyderabad,2
2024,Saurav Chauhan,Royal Challengers Bengaluru,1
2025,Sediqullah Atal,Delhi Capitals,1
2020,Shahbaz Ahmed,Royal Challengers Bengaluru,1
2021,Shahbaz Ahmed,Royal Challengers Bengaluru,2
2022,Shahbaz Ahmed,Royal Challengers Bengaluru,3
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,4
2024,Shahbaz Ahmed,Sunrisers Hyderabad,1
2025,Shahbaz Ahmed,Lucknow Super Giants,1
2008,Shahid Afridi,Deccan Chargers,1
2011,Shakib Al Hasan,Kolkata Knight Riders,1
2012,Shakib Al Hasan,Kolkata Knight Riders,2
2014,Shakib Al Hasan,Kolkata Knight Riders,1
2015,Shakib Al Hasan,Kolkata Knight Riders,2
2016,Shakib Al Hasan,Kolkata Knight Riders,3
2017,Shakib Al Hasan,Kolkata Knight Riders,4
2018,Shakib Al Hasan,Sunrisers Hyderabad,1
2019,Shakib Al Hasan,Sunrisers Hyderabad,2
2021,Shakib Al Hasan,Kolkata Knight Riders,1
2022,Shashank Singh,Sunrisers Hyderabad,1
2024,Shashank Singh,Punjab Kings,1
2025,Shashank Singh,Punjab Kings,2
2018,Shivam Mavi,Kolkata Knight Riders,1
2020,Shivam Mavi,Kolkata Knight Riders,1
2021,Shivam Mavi,Kolkata Knight Riders,2
2022,Shivam Mavi,Kolkata Knight Riders,3
2014,Shivam Sharma,Punjab Kings,1
2015,Shivam Sharma,Punjab Kings,2
2024,Shivam Singh,Punjab Kings,1
2009,Shoaib Ahmed,Deccan Chargers,1
2008,Shoaib Akhtar,Kolkata Knight Riders,1
2008,Shoaib Malik,Delhi Capitals,1
2018,Shubman Gill,Kolkata Knight Riders,1
2019,Shubman Gill,Kolkata Knight Riders,2
2020,Shubman Gill,Kolkata Knight Riders,3
2021,Shubman Gill,Kolkata Knight Riders,4
2022,Shubman Gill,Gujarat Titans,1
2023,Shubman Gill,Gujarat Titans,2
2024,Shubman Gill,Gujarat Titans,3
2025,Shubman Gill,Gujarat Titans,4
2023,Sikandar Raza,Punjab Kings,1
2024,Sikandar Raza,Punjab Kings,2
2022,Simarjeet Singh,Chennai Super Kings,1
2024,Simarjeet Singh,Chennai Super Kings,1
2025,Simarjeet Singh,Sunrisers Hyderabad,1
2008,Sohail Tanvir,Rajasthan Royals,1
2024,Sumit Kumar,Delhi Capitals,1
2012,Sunny Gupta,Delhi Capitals,1
2011,Sunny Singh,Punjab Kings,1
2025,Suryansh Shedge,Punjab Kings,1
2023,Suyash Sharma,Kolkata Knight Riders,1
2024,Suyash Sharma,Kolkata Knight Riders,2
2025,Suyash Sharma,Royal Challengers Bengaluru,1
2016,Swapnil Singh,Punjab Kings,1
2017,Swapnil Singh,Punjab Kings,2
2023,Swapnil Singh,Lucknow Super Giants,1
2024,Swapnil Singh,Royal Challengers Bengaluru,1
2020,T Banton,Kolkata Knight Riders,1
2009,T Henderson,Rajasthan Royals,1
2024,T Kohler-Cadmore,Rajasthan Royals,1
2008,T Kohli,Rajasthan Royals,1
2009,T Kohli,Punjab Kings,1
2017,T Natarajan,Punjab Kings,1
2020,T Natarajan,Sunrisers Hyderabad,1
2021,T Natarajan,Sunrisers Hyderabad,2
2022,T Natarajan,Sunrisers Hyderabad,3
2023,T Natarajan,Sunrisers Hyderabad,4
2024,T Natarajan,Sunrisers Hyderabad,5
2025,T Natarajan,Delhi Capitals,1
2016,T Shamsi,Royal Challengers Bengaluru,1
2021,T Shamsi,Rajasthan Royals,1
2022,T Stubbs,Mumbai Indians,1
2023,T Stubbs,Mumbai Indians,2
2024,T Stubbs,Delhi Capitals,1
2025,T Stubbs,Delhi Capitals,2
2008,T Taibu,Kolkata Knight Riders,1
2009,T Thushara,Chennai Super Kings,1
2010,T Thushara,Chennai Super Kings,2
2015,TA Boult,Sunrisers Hyderabad,1
2016,TA Boult,Sunrisers Hyderabad,2
2017,TA Boult,Kolkata Knight Riders,1
2018,TA Boult,Delhi Capitals,1
2019,TA Boult,Delhi Capitals,2
2020,TA Boult,Mumbai Indians,1
2021,TA Boult,Mumbai Indians,2
2022,TA Boult,Rajasthan Royals,1
2023,TA Boult,Rajasthan Royals,2
2024,TA Boult,Rajasthan Royals,3
2025,TA Boult,Mumbai Indians,1
2011,TD Paine,Pune Warriors,1
2011,TG Southee,Chennai Super Kings,1
2014,TG Southee,Rajasthan Royals,1
2015,TG Southee,Rajasthan Royals,2
2016,TG Southee,Mumbai Indians,1
2017,TG Southee,Mumbai Indians,2
2018,TG Southee,Royal Challengers Bengaluru,1
2019,TG Southee,Royal Challengers Bengaluru,2
2021,TG Southee,Kolkata Knight Riders,1
2022,TG Southee,Kolkata Knight Riders,2
2023,TG Southee,Kolkata Knight Riders,3
2021,TH David,Royal Challengers Bengaluru,1
2022,TH David,Mumbai Indians,1
2023,TH David,Mumbai Indians,2
2024,TH David,Mumbai Indians,3
2025,TH David,Royal Challengers Bengaluru,1
2018,TK Curran,Kolkata Knight Riders,1
2020,TK Curran,Rajasthan Royals,1
2021,TK Curran,Delhi Capitals,1
2021,TL Seifert,Kolkata Knight Riders,1
2022,TL Seifert,Delhi Capitals,1
2009,TL Suman,Deccan Chargers,1
2010,TL Suman,Deccan Chargers,2
2011,TL Suman,Mumbai Indians,1
2012,TL Suman,Mumbai Indians,2
2013,TL Suman,Pune Warriors,1
2008,TM Dilshan,Delhi Capitals,1
2009,TM Dilshan,Delhi Capitals,2
2010,TM Dilshan,Delhi Capitals,3
2011,TM Dilshan,Royal Challengers Bengaluru,1
2012,TM Dilshan,Royal Challengers Bengaluru,2
2013,TM Dilshan,Royal Challengers Bengaluru,3
2016,TM Head,Royal Challengers Bengaluru,1
2017,TM Head,Royal Challengers Bengaluru,2
2024,TM Head,Sunrisers Hyderabad,1
2025,TM Head,Sunrisers Hyderabad,2
2008,TM Srivastava,Punjab Kings,1
2009,TM Srivastava,Punjab Kings,2
2012,TP Sudhindra,Deccan Chargers,1
2011,TR Birt,Delhi Capitals,1
2017,TS Mills,Royal Challengers Bengaluru,1
2022,TS Mills,Mumbai Indians,1
2020,TU Deshpande,Delhi Capitals,1
2022,TU Deshpande,Chennai Super Kings,1
2023,TU Deshpande,Chennai Super Kings,2
2024,TU Deshpande,Chennai Super Kings,3
2025,TU Deshpande,Rajasthan Royals,1
2024,Tanush Kotian,Rajasthan Royals,1
2017,Tejas Baroka,Gujarat Lions,1
2022,Tilak Varma,Mumbai Indians,1
2023,Tilak Varma,Mumbai Indians,2
2024,Tilak Varma,Mumbai Indians,3
2025,Tilak Varma,Mumbai Indians,4
2008,U Kaul,Punjab Kings,1
2013,UA Birla,Pune Warriors,1
2011,UBT Chand,Delhi Capitals,1
2012,UBT Chand,Delhi Capitals,2
2013,UBT Chand,Delhi Capitals,3
2014,UBT Chand,Rajasthan Royals,1
2015,UBT Chand,Mumbai Indians,1
2016,UBT Chand,Mumbai Indians,2
2016,UT Khawaja,Rising Pune Supergiant,1
2010,UT Yadav,Delhi Capitals,1
2011,UT Yadav,Delhi Capitals,2
2012,UT Yadav,Delhi Capitals,3
2013,UT Yadav,Delhi Capitals,4
2014,UT Yadav,Kolkata Knight Riders,1
2015,UT Yadav,Kolkata Knight Riders,2
2016,UT Yadav,Kolkata Knight Riders,3
2017,UT Yadav,Kolkata Knight Riders,4
2018,UT Yadav,Royal Challengers Bengaluru,1
2019,UT Yadav,Royal Challengers Bengaluru,2
2020,UT Yadav,Royal Challengers Bengaluru,3
2022,UT Yadav,Kolkata Knight Riders,1
2023,UT Yadav,Kolkata Knight Riders,2
2024,UT Yadav,Gujarat Titans,1
2008,Umar Gul,Kolkata Knight Riders,1
2021,Umran Malik,Sunrisers Hyderabad,1
2022,Umran Malik,Sunrisers Hyderabad,2
2023,Umran Malik,Sunrisers Hyderabad,3
2024,Umran Malik,Sunrisers Hyderabad,4
2025,Urvil Patel,Chennai Super Kings,1
2024,V Kaverappa,Punjab Kings,1
2008,V Kohli,Royal Challengers Bengaluru,1
2009,V Kohli,Royal Challengers Bengaluru,2
2010,V Kohli,Royal Challengers Bengaluru,3
2011,V Kohli,Royal Challengers Bengaluru,4
2012,V Kohli,Royal Challengers Bengaluru,5
2013,V Kohli,Royal Challengers Bengaluru,6
2014,V Kohli,Royal Challengers Bengaluru,7
2015,V Kohli,Royal Challengers Bengaluru,8
2016,V Kohli,Royal Challengers Bengaluru,9
2017,V Kohli,Royal Challengers Bengaluru,10
2018,V Kohli,Royal Challengers Bengaluru,11
2019,V Kohli,Royal Challengers Bengaluru,12
2020,V Kohli,Royal Challengers Bengaluru,13
2021,V Kohli,Royal Challengers Bengaluru,14
2022,V Kohli,Royal Challengers Bengaluru,15
2023,V Kohli,Royal Challengers Bengaluru,16
2024,V Kohli,Royal Challengers Bengaluru,17
2025,V Kohli,Royal Challengers Bengaluru,18
2025,V Nigam,Delhi Capitals,1
2012,V Pratap Singh,Deccan Chargers,1
2025,V Puthur,Mumbai Indians,1
2008,V Sehwag,Delhi Capitals,1
2009,V Sehwag,Delhi Capitals,2
2010,V Sehwag,Delhi Capitals,3
2011,V Sehwag,Delhi Capitals,4
2012,V Sehwag,Delhi Capitals,5
2013,V Sehwag,Delhi Capitals,6
2014,V Sehwag,Punjab Kings,1
2015,V Sehwag,Punjab Kings,2
2014,V Shankar,Chennai Super Kings,1
2017,V Shankar,Sunrisers Hyderabad,1
2018,V Shankar,Delhi Capitals,1
2019,V Shankar,Sunrisers Hyderabad,1
2020,V Shankar,Sunrisers Hyderabad,2
2021,V Shankar,Sunrisers Hyderabad,3
2022,V Shankar,Gujarat Titans,1
2023,V Shankar,Gujarat Titans,2
2024,V Shankar,Gujarat Titans,3
2025,V Shankar,Chennai Super Kings,1
2025,V Suryavanshi,Rajasthan Royals,1
2024,V Viyaskanth,Sunrisers Hyderabad,1
2022,VG Arora,Punjab Kings,1
2023,VG Arora,Kolkata Knight Riders,1
2024,VG Arora,Kolkata Knight Riders,2
2025,VG Arora,Kolkata Knight Riders,3
2014,VH Zol,Royal Challengers Bengaluru,1
2011,VR Aaron,Delhi Capitals,1
2012,VR Aaron,Delhi Capitals,2
2014,VR Aaron,Royal Challengers Bengaluru,1
2015,VR Aaron,Royal Challengers Bengaluru,2
2016,VR Aaron,Royal Challengers Bengaluru,3
2017,VR Aaron,Punjab Kings,1
2019,VR Aaron,Rajasthan Royals,1
2020,VR Aaron,Rajasthan Royals,2
2022,VR Aaron,Gujarat Titans,1
2021,VR Iyer,Kolkata Knight Riders,1
2022,VR Iyer,Kolkata Knight Riders,2
2023,VR Iyer,Kolkata Knight Riders,3
2024,VR Iyer,Kolkata Knight Riders,4
2025,VR Iyer,Kolkata Knight Riders,5
2008,VRV Singh,Punjab Kings,1
2009,VRV Singh,Punjab Kings,2
2010,VRV Singh,Punjab Kings,3
2009,VS Malik,Punjab Kings,1
2010,VS Malik,Punjab Kings,2
2011,VS Malik,Punjab Kings,3
2013,VS Malik,Rajasthan Royals,1
2014,VS Malik,Rajasthan Royals,2
2008,VS Yeligati,Mumbai Indians,1
2008,VVS Laxman,Deccan Chargers,1
2009,VVS Laxman,Deccan Chargers,2
2010,VVS Laxman,Deccan Chargers,3
2011,VVS Laxman,Kochi Tuskers Kerala,1
2008,VY Mahesh,Delhi Capitals,1
2009,VY Mahesh,Delhi Capitals,2
2010,VY Mahesh,Delhi Capitals,3
2012,VY Mahesh,Chennai Super Kings,1
2023,Vijaykumar Vyshak,Royal Challengers Bengaluru,1
2024,Vijaykumar Vyshak,Royal Challengers Bengaluru,2
2025,Vijaykumar Vyshak,Punjab Kings,1
2021,Virat Singh,Sunrisers Hyderabad,1
2017,Vishnu Vinod,Royal Challengers Bengaluru,1
2023,Vishnu Vinod,Mumbai Indians,1
2023,Vivrant Sharma,Sunrisers Hyderabad,1
2008,W Jaffer,Royal Challengers Bengaluru,1
2009,W Jaffer,Royal Challengers Bengaluru,2
2025,W O'Rourke,Lucknow Super Giants,1
2008,WA Mota,Punjab Kings,1
2009,WA Mota,Punjab Kings,2
2011,WD Parnell,Pune Warriors,1
2012,WD Parnell,Pune Warriors,2
2013,WD Parnell,Pune Warriors,3
2014,WD Parnell,Delhi Capitals,1
2023,WD Parnell,Royal Challengers Bengaluru,1
2024,WG Jacks,Royal Challengers Bengaluru,1
2025,WG Jacks,Mumbai Indians,1
2008,WP Saha,Kolkata Knight Riders,1
2009,WP Saha,Kolkata Knight Riders,2
2010,WP Saha,Kolkata Knight Riders,3
2011,WP Saha,Chennai Super Kings,1
2012,WP Saha,Chennai Super Kings,2
2013,WP Saha,Chennai Super Kings,3
2014,WP Saha,Punjab Kings,1
2015,WP Saha,Punjab Kings,2
2016,WP Saha,Punjab Kings,3
2017,WP Saha,Punjab Kings,4
2018,WP Saha,Sunrisers Hyderabad,1
2019,WP Saha,Sunrisers Hyderabad,2
2020,WP Saha,Sunrisers Hyderabad,3
2021,WP Saha,Sunrisers Hyderabad,4
2022,WP Saha,Gujarat Titans,1
2023,WP Saha,Gujarat Titans,2
2024,WP Saha,Gujarat Titans,3
2008,WPUJC Vaas,Deccan Chargers,1
2009,WPUJC Vaas,Deccan Chargers,2
2010,WPUJC Vaas,Deccan Chargers,3
2017,Washington Sundar,Rising Pune Supergiant,1
2018,Washington Sundar,Royal Challengers Bengaluru,1
2019,Washington Sundar,Royal Challengers Bengaluru,2
2020,Washington Sundar,Royal Challengers Bengaluru,3
2021,Washington Sundar,Royal Challengers Bengaluru,4
2022,Washington Sundar,Sunrisers Hyderabad,1
2023,Washington Sundar,Sunrisers Hyderabad,2
2024,Washington Sundar,Sunrisers Hyderabad,3
2025,Washington Sundar,Gujarat Titans,1
2013,X Thalaivan Sargunam,Sunrisers Hyderabad,1
2025,XC Bartlett,Punjab Kings,1
